id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
230484143,5.0,197.0,2025-06-17 20:38:01.274,1750192681.0,1750192694.0
230484144,5.0,196.0,2025-06-17 20:38:01.320,1750192681.0,1750192694.0
230484145,5.0,198.0,2025-06-17 20:38:01.366,1750192681.0,1750192694.0
230484146,5.0,196.0,2025-06-17 20:38:01.414,1750192681.0,1750192694.0
230484147,5.0,196.0,2025-06-17 20:38:01.460,1750192681.0,1750192694.0
230484148,5.0,197.0,2025-06-17 20:38:01.506,1750192681.0,1750192694.0
230484149,5.0,197.0,2025-06-17 20:38:01.552,1750192681.0,1750192694.0
230484150,5.0,196.0,2025-06-17 20:38:01.599,1750192681.0,1750192694.0
230484151,5.0,196.0,2025-06-17 20:38:01.645,1750192681.0,1750192694.0
230484152,5.0,196.0,2025-06-17 20:38:01.691,1750192681.0,1750192694.0
230484153,5.0,198.0,2025-06-17 20:38:01.735,1750192681.0,1750192694.0
230484154,5.0,198.0,2025-06-17 20:38:01.781,1750192681.0,1750192694.0
230484155,5.0,197.0,2025-06-17 20:38:01.828,1750192681.0,1750192694.0
230484156,5.0,197.0,2025-06-17 20:38:01.874,1750192681.0,1750192694.0
230484157,5.0,198.0,2025-06-17 20:38:01.921,1750192681.0,1750192694.0
230484158,5.0,197.0,2025-06-17 20:38:01.967,1750192681.0,1750192694.0
230484159,5.0,196.0,2025-06-17 20:38:02.015,1750192681.0,1750192694.0
230484160,5.0,198.0,2025-06-17 20:38:02.061,1750192681.0,1750192694.0
230484161,5.0,198.0,2025-06-17 20:38:02.109,1750192681.0,1750192694.0
230484162,5.0,198.0,2025-06-17 20:38:02.155,1750192681.0,1750192694.0
230484163,5.0,196.0,2025-06-17 20:38:02.201,1750192681.0,1750192694.0
230484164,5.0,196.0,2025-06-17 20:38:02.247,1750192681.0,1750192694.0
230484165,5.0,197.0,2025-06-17 20:38:02.293,1750192681.0,1750192694.0
230484166,5.0,198.0,2025-06-17 20:38:02.340,1750192681.0,1750192694.0
230484167,5.0,197.0,2025-06-17 20:38:02.386,1750192681.0,1750192694.0
230484168,5.0,197.0,2025-06-17 20:38:02.432,1750192681.0,1750192694.0
230484169,5.0,197.0,2025-06-17 20:38:02.477,1750192681.0,1750192694.0
230484170,5.0,196.0,2025-06-17 20:38:02.523,1750192681.0,1750192694.0
230484171,5.0,197.0,2025-06-17 20:38:02.569,1750192681.0,1750192694.0
230484172,5.0,197.0,2025-06-17 20:38:02.613,1750192681.0,1750192694.0
