id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
231899231,196.0,197.0,2025-07-22 13:17:40.003,1753190260.0,1753190273.0
231899232,196.0,198.0,2025-07-22 13:17:40.060,1753190260.0,1753190273.0
231899233,198.0,197.0,2025-07-22 13:17:40.118,1753190260.0,1753190273.0
231899234,198.0,198.0,2025-07-22 13:17:40.175,1753190260.0,1753190273.0
231899235,197.0,196.0,2025-07-22 13:17:40.232,1753190260.0,1753190273.0
231899236,198.0,197.0,2025-07-22 13:17:40.289,1753190260.0,1753190273.0
231899237,196.0,197.0,2025-07-22 13:17:40.346,1753190260.0,1753190273.0
231899238,197.0,198.0,2025-07-22 13:17:40.403,1753190260.0,1753190273.0
231899239,197.0,198.0,2025-07-22 13:17:40.460,1753190260.0,1753190273.0
231899240,197.0,196.0,2025-07-22 13:17:40.518,1753190260.0,1753190273.0
231899241,196.0,196.0,2025-07-22 13:17:40.575,1753190260.0,1753190273.0
231899242,197.0,198.0,2025-07-22 13:17:40.632,1753190260.0,1753190273.0
231899243,196.0,198.0,2025-07-22 13:17:40.689,1753190260.0,1753190273.0
231899244,197.0,196.0,2025-07-22 13:17:40.746,1753190260.0,1753190273.0
231899245,197.0,196.0,2025-07-22 13:17:40.803,1753190260.0,1753190273.0
231899246,197.0,198.0,2025-07-22 13:17:40.860,1753190260.0,1753190273.0
231899247,197.0,196.0,2025-07-22 13:17:40.918,1753190260.0,1753190273.0
231899248,198.0,196.0,2025-07-22 13:17:40.975,1753190260.0,1753190273.0
231899249,196.0,198.0,2025-07-22 13:17:41.032,1753190260.0,1753190273.0
231899250,197.0,198.0,2025-07-22 13:17:41.089,1753190260.0,1753190273.0
231899251,197.0,196.0,2025-07-22 13:17:41.148,1753190260.0,1753190273.0
231899252,197.0,196.0,2025-07-22 13:17:41.205,1753190260.0,1753190273.0
231899253,197.0,198.0,2025-07-22 13:17:41.262,1753190260.0,1753190273.0
231899254,197.0,196.0,2025-07-22 13:17:41.319,1753190260.0,1753190273.0
231899255,197.0,196.0,2025-07-22 13:17:41.376,1753190260.0,1753190273.0
231899256,196.0,196.0,2025-07-22 13:17:41.434,1753190260.0,1753190273.0
231899257,196.0,196.0,2025-07-22 13:17:41.492,1753190260.0,1753190273.0
231899258,196.0,198.0,2025-07-22 13:17:41.551,1753190260.0,1753190273.0
231899259,196.0,198.0,2025-07-22 13:17:41.608,1753190260.0,1753190273.0
231899260,196.0,197.0,2025-07-22 13:17:41.665,1753190260.0,1753190273.0
231899261,196.0,196.0,2025-07-22 13:17:41.722,1753190260.0,1753190273.0
231899262,197.0,196.0,2025-07-22 13:17:41.780,1753190260.0,1753190273.0
231899263,196.0,196.0,2025-07-22 13:17:41.837,1753190260.0,1753190273.0
231899264,196.0,198.0,2025-07-22 13:17:41.894,1753190260.0,1753190273.0
231899265,196.0,196.0,2025-07-22 13:17:41.952,1753190260.0,1753190273.0
231899266,197.0,196.0,2025-07-22 13:17:42.009,1753190260.0,1753190273.0
231899267,196.0,196.0,2025-07-22 13:17:42.068,1753190260.0,1753190273.0
231899268,197.0,196.0,2025-07-22 13:17:42.125,1753190260.0,1753190273.0
231899269,197.0,197.0,2025-07-22 13:17:42.183,1753190260.0,1753190273.0
231899270,197.0,196.0,2025-07-22 13:17:42.240,1753190260.0,1753190273.0
231899271,197.0,197.0,2025-07-22 13:17:42.297,1753190260.0,1753190273.0
231899272,197.0,196.0,2025-07-22 13:17:42.355,1753190260.0,1753190273.0
231899273,196.0,198.0,2025-07-22 13:17:42.412,1753190260.0,1753190273.0
231899274,196.0,196.0,2025-07-22 13:17:42.472,1753190260.0,1753190273.0
