"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
127795748,"194","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795747,"194","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795749,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795746,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795745,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795744,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:34",0
127795737,"22","201","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795738,"23","199","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795743,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795742,"194","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795741,"194","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795740,"221","198","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795739,"221","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:33",0
127795734,"31","218","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795736,"20","206","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795735,"22","219","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795733,"200","218","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795732,"106","220","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795731,"195","199","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795730,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795729,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:32",0
127795722,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795728,"159","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795727,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795726,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795725,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795724,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795723,"165","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:31",0
127795716,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795721,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795720,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795719,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795718,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795717,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795715,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:30",0
127795710,"196","200","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795714,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795708,"199","206","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795713,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795712,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795711,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795709,"89","201","F0:08:D1:D0:7B:84","2025-01-21 18:56:29",0
127795704,"0","218","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",64
127795707,"199","24","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",0
127795706,"0","25","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",64
127795705,"26","0","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",32
127795703,"23","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",0
127795702,"0","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",64
127795701,"33","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",0
127795700,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:28",0
127795693,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795699,"194","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795698,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795697,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795696,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795695,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795694,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:27",0
127795687,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795692,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795691,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795690,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795689,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795688,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795686,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:26",0
127795684,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795685,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795683,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795682,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795681,"95","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795680,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795679,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:25",0
127795671,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795678,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795677,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795676,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795675,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795674,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795673,"95","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795672,"145","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:24",0
127795665,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795670,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795669,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795668,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795667,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795666,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795664,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:23",0
127795660,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795663,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795658,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795662,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795657,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795661,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795659,"80","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:22",0
127795649,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795656,"194","196","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795655,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795654,"27","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795653,"24","27","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795652,"202","24","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795651,"199","28","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",0
127795650,"195","0","F0:08:D1:D0:7B:84","2025-01-21 18:56:21",32
127795642,"131","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:20",0
127795648,"151","197","F0:08:D1:D0:7B:84","2025-01-21 18:56:20",0
